path,annotation
audio/rachel_speech_01.wav,speech_01.txt
audio/rachel_speech_02.wav,speech_02.txt
audio/rachel_speech_03.wav,speech_03.txt
audio/rachel_speech_04.wav,speech_04.txt
audio/rachel_speech_05.wav,speech_05.txt
audio/rachel_speech_06.wav,speech_06.txt
audio/rachel_speech_07.wav,speech_07.txt
audio/rachel_speech_08.wav,speech_08.txt
audio/rachel_speech_09.wav,speech_09.txt
audio/rachel_speech_10.wav,speech_10.txt
audio/rachel_speech_100.wav,speech_100.txt
audio/rachel_speech_11.wav,speech_11.txt
audio/rachel_speech_12.wav,speech_12.txt
audio/rachel_speech_13.wav,speech_13.txt
audio/rachel_speech_14.wav,speech_14.txt
audio/rachel_speech_15.wav,speech_15.txt
audio/rachel_speech_16.wav,speech_16.txt
audio/rachel_speech_17.wav,speech_17.txt
audio/rachel_speech_18.wav,speech_18.txt
audio/rachel_speech_19.wav,speech_19.txt
audio/rachel_speech_20.wav,speech_20.txt
audio/rachel_speech_21.wav,speech_21.txt
audio/rachel_speech_22.wav,speech_22.txt
audio/rachel_speech_23.wav,speech_23.txt
audio/rachel_speech_24.wav,speech_24.txt
audio/rachel_speech_25.wav,speech_25.txt
audio/rachel_speech_26.wav,speech_26.txt
audio/rachel_speech_27.wav,speech_27.txt
audio/rachel_speech_28.wav,speech_28.txt
audio/rachel_speech_29.wav,speech_29.txt
audio/rachel_speech_30.wav,speech_30.txt
audio/rachel_speech_31.wav,speech_31.txt
audio/rachel_speech_32.wav,speech_32.txt
audio/rachel_speech_33.wav,speech_33.txt
audio/rachel_speech_34.wav,speech_34.txt
audio/rachel_speech_35.wav,speech_35.txt
audio/rachel_speech_36.wav,speech_36.txt
audio/rachel_speech_37.wav,speech_37.txt
audio/rachel_speech_38.wav,speech_38.txt
audio/rachel_speech_39.wav,speech_39.txt
audio/rachel_speech_40.wav,speech_40.txt
audio/rachel_speech_41.wav,speech_41.txt
audio/rachel_speech_42.wav,speech_42.txt
audio/rachel_speech_43.wav,speech_43.txt
audio/rachel_speech_44.wav,speech_44.txt
audio/rachel_speech_45.wav,speech_45.txt
audio/rachel_speech_46.wav,speech_46.txt
audio/rachel_speech_47.wav,speech_47.txt
audio/rachel_speech_48.wav,speech_48.txt
audio/rachel_speech_49.wav,speech_49.txt
audio/rachel_speech_50.wav,speech_50.txt
audio/rachel_speech_51.wav,speech_51.txt
audio/rachel_speech_52.wav,speech_52.txt
audio/rachel_speech_53.wav,speech_53.txt
audio/rachel_speech_54.wav,speech_54.txt
audio/rachel_speech_55.wav,speech_55.txt
audio/rachel_speech_56.wav,speech_56.txt
audio/rachel_speech_57.wav,speech_57.txt
audio/rachel_speech_58.wav,speech_58.txt
audio/rachel_speech_59.wav,speech_59.txt
audio/rachel_speech_60.wav,speech_60.txt
audio/rachel_speech_61.wav,speech_61.txt
audio/rachel_speech_62.wav,speech_62.txt
audio/rachel_speech_63.wav,speech_63.txt
audio/rachel_speech_64.wav,speech_64.txt
audio/rachel_speech_65.wav,speech_65.txt
audio/rachel_speech_66.wav,speech_66.txt
audio/rachel_speech_67.wav,speech_67.txt
audio/rachel_speech_68.wav,speech_68.txt
audio/rachel_speech_69.wav,speech_69.txt
audio/rachel_speech_70.wav,speech_70.txt
audio/rachel_speech_71.wav,speech_71.txt
audio/rachel_speech_72.wav,speech_72.txt
audio/rachel_speech_73.wav,speech_73.txt
audio/rachel_speech_74.wav,speech_74.txt
audio/rachel_speech_75.wav,speech_75.txt
audio/rachel_speech_76.wav,speech_76.txt
audio/rachel_speech_77.wav,speech_77.txt
audio/rachel_speech_78.wav,speech_78.txt
audio/rachel_speech_79.wav,speech_79.txt
audio/rachel_speech_80.wav,speech_80.txt
audio/rachel_speech_81.wav,speech_81.txt
audio/rachel_speech_82.wav,speech_82.txt
audio/rachel_speech_83.wav,speech_83.txt
audio/rachel_speech_84.wav,speech_84.txt
audio/rachel_speech_85.wav,speech_85.txt
audio/rachel_speech_86.wav,speech_86.txt
audio/rachel_speech_87.wav,speech_87.txt
audio/rachel_speech_88.wav,speech_88.txt
audio/rachel_speech_89.wav,speech_89.txt
audio/rachel_speech_90.wav,speech_90.txt
audio/rachel_speech_91.wav,speech_91.txt
audio/rachel_speech_92.wav,speech_92.txt
audio/rachel_speech_93.wav,speech_93.txt
audio/rachel_speech_94.wav,speech_94.txt
audio/rachel_speech_95.wav,speech_95.txt
audio/rachel_speech_96.wav,speech_96.txt
audio/rachel_speech_97.wav,speech_97.txt
audio/rachel_speech_98.wav,speech_98.txt
audio/rachel_speech_99.wav,speech_99.txt
audio/tiencheng_speech_01.wav,speech_01.txt
audio/tiencheng_speech_02.wav,speech_02.txt
audio/tiencheng_speech_03.wav,speech_03.txt
audio/tiencheng_speech_04.wav,speech_04.txt
audio/tiencheng_speech_05.wav,speech_05.txt
audio/tiencheng_speech_06.wav,speech_06.txt
audio/tiencheng_speech_07.wav,speech_07.txt
audio/tiencheng_speech_08.wav,speech_08.txt
